driver_id,driver_name,month,deliveries,failures,failure_rate,revenue
WDID09872,Tonya Chung,2023-01,1,0,0.0,126.73
WDID09872,Tonya Chung,2023-02,1,0,0.0,407.28
WDID09872,Tonya Chung,2023-03,2,0,0.0,568.61
WDID09872,Tonya Chung,2023-08,1,0,0.0,366.63
WDID09872,Tonya Chung,2023-10,1,0,0.0,81.85
WDID09872,Tonya Chung,2023-11,1,0,0.0,487.71
WDID09873,Pamela Moore,2023-01,1,0,0.0,359.86
WDID09873,Pamela Moore,2023-03,2,1,0.5,509.56999999999994
WDID09873,Pamela Moore,2023-06,1,0,0.0,79.65
WDID09873,Pamela Moore,2023-07,1,0,0.0,324.4
WDID09873,Pamela Moore,2023-08,1,0,0.0,194.22
WDID09873,Pamela Moore,2023-09,2,1,0.5,736.56
WDID09873,Pamela Moore,2023-10,1,1,1.0,897.64
WDID09873,Pamela Moore,2023-11,1,1,1.0,634.57
WDID09873,Pamela Moore,2023-12,1,0,0.0,122.48
WDID09874,Billy Lawson,2023-02,1,0,0.0,355.08
WDID09874,Billy Lawson,2023-03,1,1,1.0,364.82
WDID09874,Billy Lawson,2023-04,1,1,1.0,273.23
WDID09874,Billy Lawson,2023-05,1,0,0.0,92.59
WDID09874,Billy Lawson,2023-06,3,0,0.0,329.06
WDID09874,Billy Lawson,2023-07,3,1,0.3333333333333333,1089.69
WDID09874,Billy Lawson,2023-08,1,1,1.0,353.84
WDID09875,Stephen Randolph,2023-01,2,1,0.5,550.0
WDID09875,Stephen Randolph,2023-02,1,0,0.0,342.32
WDID09875,Stephen Randolph,2023-03,1,1,1.0,55.89
WDID09875,Stephen Randolph,2023-04,3,0,0.0,514.0699999999999
WDID09875,Stephen Randolph,2023-06,1,1,1.0,314.43
WDID09875,Stephen Randolph,2023-07,1,1,1.0,747.37
WDID09875,Stephen Randolph,2023-08,1,0,0.0,267.43
WDID09875,Stephen Randolph,2023-11,1,0,0.0,40.98
WDID09876,Jordan Daniel,2023-02,1,1,1.0,317.26
WDID09876,Jordan Daniel,2023-04,1,1,1.0,209.52
WDID09876,Jordan Daniel,2023-05,3,1,0.3333333333333333,1277.97
WDID09876,Jordan Daniel,2023-06,1,0,0.0,99.22
WDID09876,Jordan Daniel,2023-07,1,0,0.0,333.03
WDID09876,Jordan Daniel,2023-09,1,1,1.0,61.38
WDID09876,Jordan Daniel,2023-10,2,0,0.0,299.64000000000004
WDID09876,Jordan Daniel,2023-12,1,0,0.0,337.3
WDID09877,James White,2023-02,2,0,0.0,723.0
WDID09877,James White,2023-05,1,0,0.0,318.18
WDID09877,James White,2023-07,3,1,0.3333333333333333,897.95
WDID09877,James White,2023-08,1,1,1.0,124.87
WDID09877,James White,2023-09,1,1,1.0,204.53
WDID09877,James White,2023-10,1,0,0.0,285.74
WDID09877,James White,2023-11,1,1,1.0,453.64
WDID09877,James White,2023-12,1,0,0.0,336.15
WDID09878,Roger Green,2023-01,1,1,1.0,271.22
WDID09878,Roger Green,2023-02,1,0,0.0,469.3
WDID09878,Roger Green,2023-04,1,0,0.0,305.45
WDID09878,Roger Green,2023-05,1,1,1.0,77.2
WDID09878,Roger Green,2023-06,1,1,1.0,341.25
WDID09878,Roger Green,2023-07,2,1,0.5,489.69
WDID09878,Roger Green,2023-08,2,0,0.0,688.79
WDID09878,Roger Green,2023-11,1,0,0.0,453.99
WDID09878,Roger Green,2023-12,1,0,0.0,25.4
WDID09879,Shane Palmer,2023-01,1,1,1.0,772.66
WDID09879,Shane Palmer,2023-02,1,0,0.0,483.31
WDID09879,Shane Palmer,2023-03,2,0,0.0,623.64
WDID09879,Shane Palmer,2023-05,1,1,1.0,1025.22
WDID09879,Shane Palmer,2023-06,2,1,0.5,993.4300000000001
WDID09879,Shane Palmer,2023-07,1,0,0.0,228.74
WDID09879,Shane Palmer,2023-10,1,0,0.0,451.36
WDID09879,Shane Palmer,2023-11,1,1,1.0,358.36
WDID09879,Shane Palmer,2023-12,1,0,0.0,299.72
WDID09880,Brittany Gordon,2023-01,1,0,0.0,431.63
WDID09880,Brittany Gordon,2023-02,1,0,0.0,258.46
WDID09880,Brittany Gordon,2023-04,2,2,1.0,309.08
WDID09880,Brittany Gordon,2023-06,1,1,1.0,466.85
WDID09880,Brittany Gordon,2023-07,1,0,0.0,425.76
WDID09880,Brittany Gordon,2023-09,1,0,0.0,466.28
WDID09880,Brittany Gordon,2023-10,2,0,0.0,462.03999999999996
WDID09880,Brittany Gordon,2023-11,2,1,0.5,564.25
WDID09881,Tracey Watkins,2023-01,3,2,0.6666666666666666,695.64
WDID09881,Tracey Watkins,2023-06,2,1,0.5,374.24
WDID09881,Tracey Watkins,2023-07,1,0,0.0,423.34
WDID09881,Tracey Watkins,2023-08,2,1,0.5,988.96
WDID09881,Tracey Watkins,2023-09,1,0,0.0,139.48
WDID09881,Tracey Watkins,2023-11,1,0,0.0,447.29
WDID09881,Tracey Watkins,2023-12,1,0,0.0,424.79
WDID09882,Angela Young,2023-01,1,1,1.0,365.02
WDID09882,Angela Young,2023-02,2,1,0.5,724.6099999999999
WDID09882,Angela Young,2023-03,2,0,0.0,308.26
WDID09882,Angela Young,2023-04,1,0,0.0,242.15
WDID09882,Angela Young,2023-05,2,1,0.5,796.8
WDID09882,Angela Young,2023-08,2,1,0.5,95.07
WDID09882,Angela Young,2023-11,1,0,0.0,406.22
WDID09883,Charles Rios DVM,2023-01,2,1,0.5,838.22
WDID09883,Charles Rios DVM,2023-04,1,0,0.0,248.91
WDID09883,Charles Rios DVM,2023-06,1,1,1.0,337.56
WDID09883,Charles Rios DVM,2023-08,2,1,0.5,503.59
WDID09883,Charles Rios DVM,2023-09,1,0,0.0,216.81
WDID09883,Charles Rios DVM,2023-10,1,0,0.0,340.06
WDID09883,Charles Rios DVM,2023-11,1,1,1.0,84.83
WDID09883,Charles Rios DVM,2023-12,2,0,0.0,289.73
WDID09884,James Winters,2023-02,2,1,0.5,513.94
WDID09884,James Winters,2023-05,2,1,0.5,649.94
WDID09884,James Winters,2023-06,1,1,1.0,398.42
WDID09884,James Winters,2023-10,1,0,0.0,396.15
WDID09884,James Winters,2023-11,2,0,0.0,290.87
WDID09884,James Winters,2023-12,3,1,0.3333333333333333,843.19
WDID09885,Jacob Barker,2023-01,1,0,0.0,136.52
WDID09885,Jacob Barker,2023-03,2,1,0.5,421.79
WDID09885,Jacob Barker,2023-04,1,0,0.0,403.27
WDID09885,Jacob Barker,2023-06,2,1,0.5,893.13
WDID09885,Jacob Barker,2023-07,2,1,0.5,1215.71
WDID09885,Jacob Barker,2023-08,1,1,1.0,149.08
WDID09885,Jacob Barker,2023-09,1,0,0.0,180.42
WDID09885,Jacob Barker,2023-12,1,0,0.0,355.6
WDID09886,Jasmine Perez,2023-01,2,1,0.5,424.54999999999995
WDID09886,Jasmine Perez,2023-04,1,0,0.0,382.01
WDID09886,Jasmine Perez,2023-06,1,0,0.0,269.24
