customer_id,customer_name,customer_age,total_orders,total_failures,total_revenue,avg_ticket,months_active,first_order,last_order,failure_rate,orders_per_month,had_failure,age_group,failure_group,value_segment,churned,returned_after_failure
WCID5000,Dustin Spencer,38,7,0,2092.2,298.8857,7,2023-01-20,2023-09-16,0.0,1.0,False,30–44,0 — Sem falha,Médio Valor,False,False
WCID5001,Clayton Huff,66,9,3,2595.46,288.3844,5,2023-03-05,2023-11-10,0.3333,1.8,True,60+,3+ — Múltiplas falhas,Alto Valor,False,True
WCID5002,Angelica Wilson,72,6,2,2196.25,366.0417,5,2023-01-04,2023-12-07,0.3333,1.2,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5003,Lisa Marquez,20,11,2,3163.13,287.5573,8,2023-01-11,2023-12-11,0.1818,1.375,True,18–29,2 — Duas falhas,VIP,False,True
WCID5004,James Martinez,35,15,3,4520.94,301.396,10,2023-01-24,2023-12-17,0.2,1.5,True,30–44,3+ — Múltiplas falhas,VIP,False,True
WCID5005,Dawn Tucker,85,11,2,3320.22,301.8382,8,2023-01-01,2023-11-29,0.1818,1.375,True,60+,2 — Duas falhas,VIP,False,True
WCID5006,Tracy Taylor,90,4,0,1033.59,258.3975,4,2023-07-09,2023-12-29,0.0,1.0,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5007,Timothy Daniel,18,14,6,4490.46,320.7471,10,2023-01-01,2023-12-17,0.4286,1.4,True,,3+ — Múltiplas falhas,VIP,False,True
WCID5008,Christopher Martin,53,3,0,861.04,287.0133,3,2023-01-11,2023-06-14,0.0,1.0,False,45–59,0 — Sem falha,Baixo Valor,False,False
WCID5009,Andrea Mccarty,86,8,0,2147.11,268.3888,4,2023-01-07,2023-12-30,0.0,2.0,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5010,Felicia Harrington,18,16,0,3099.51,193.7194,10,2023-01-22,2023-12-06,0.0,1.6,False,,0 — Sem falha,VIP,False,False
WCID5011,Jesus Green,59,9,2,2388.66,265.4067,8,2023-01-10,2023-12-22,0.2222,1.125,True,45–59,2 — Duas falhas,Alto Valor,False,True
WCID5012,Jorge Allen,80,9,2,2338.19,259.7989,7,2023-02-05,2023-09-23,0.2222,1.2857,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5013,Patrick Campbell,62,5,0,1167.2,233.44,4,2023-02-14,2023-11-16,0.0,1.25,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5014,David Jackson,35,15,5,3235.41,215.694,9,2023-01-10,2023-12-21,0.3333,1.6667,True,30–44,3+ — Múltiplas falhas,VIP,False,True
WCID5015,Ms. Natalie Krause DVM,38,6,0,1504.45,250.7417,5,2023-02-23,2023-11-24,0.0,1.2,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5016,Joseph White,74,15,0,4955.24,330.3493,10,2023-01-15,2023-12-10,0.0,1.5,False,60+,0 — Sem falha,VIP,False,False
WCID5017,Nicholas Juarez,59,5,2,1858.39,371.678,4,2023-05-10,2023-10-08,0.4,1.25,True,45–59,2 — Duas falhas,Médio Valor,False,True
WCID5018,Mark Mcmahon,78,5,2,1201.68,240.336,5,2023-01-21,2023-10-26,0.4,1.0,True,60+,2 — Duas falhas,Baixo Valor,False,True
WCID5019,Sarah Davidson,59,7,3,1588.53,226.9329,5,2023-01-03,2023-08-01,0.4286,1.4,True,45–59,3+ — Múltiplas falhas,Baixo Valor,True,True
WCID5020,John Mora,83,8,1,1703.5,212.9375,5,2023-02-05,2023-09-30,0.125,1.6,True,60+,1 — Uma falha,Médio Valor,True,False
WCID5021,Beth Wong,41,11,2,3392.03,308.3664,6,2023-02-27,2023-11-19,0.1818,1.8333,True,30–44,2 — Duas falhas,VIP,False,True
WCID5022,Katherine Greer,45,5,3,2039.69,407.938,5,2023-01-25,2023-09-04,0.6,1.0,True,30–44,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5023,Dominique Hill,87,7,0,1679.0,239.8571,7,2023-01-17,2023-12-16,0.0,1.0,False,60+,0 — Sem falha,Médio Valor,False,False
WCID5024,Ariel Winters,80,11,1,2091.78,190.1618,8,2023-01-14,2023-11-13,0.0909,1.375,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5025,Mr. Louis Arroyo,67,14,2,5026.86,359.0614,7,2023-01-14,2023-12-23,0.1429,2.0,True,60+,2 — Duas falhas,VIP,False,True
WCID5026,Alison Robles,20,7,0,1846.86,263.8371,5,2023-01-30,2023-09-28,0.0,1.4,False,18–29,0 — Sem falha,Médio Valor,False,False
WCID5027,Christina May,57,9,1,2070.75,230.0833,7,2023-03-16,2023-12-23,0.1111,1.2857,True,45–59,1 — Uma falha,Médio Valor,False,True
WCID5028,Allison Barker,88,11,2,1844.54,167.6855,6,2023-02-13,2023-08-28,0.1818,1.8333,True,60+,2 — Duas falhas,Médio Valor,False,True
WCID5029,Ryan Baker,24,8,0,2206.98,275.8725,6,2023-03-16,2023-12-18,0.0,1.3333,False,18–29,0 — Sem falha,Alto Valor,False,False
WCID5030,Heather Mitchell,23,12,3,4291.01,357.5842,6,2023-03-15,2023-12-11,0.25,2.0,True,18–29,3+ — Múltiplas falhas,VIP,False,True
WCID5031,John Cooper,68,2,1,1204.64,602.32,2,2023-01-01,2023-08-13,0.5,1.0,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5032,Christian Sanchez,18,5,0,1375.48,275.096,3,2023-03-29,2023-06-12,0.0,1.6667,False,,0 — Sem falha,Baixo Valor,False,False
WCID5033,Shawn Garcia,48,9,3,3299.37,366.5967,6,2023-04-12,2023-12-03,0.3333,1.5,True,45–59,3+ — Múltiplas falhas,VIP,False,True
WCID5034,Laura Green,84,10,2,2587.36,258.736,7,2023-01-03,2023-12-31,0.2,1.4286,True,60+,2 — Duas falhas,Alto Valor,False,True
WCID5035,Cynthia Keller,64,10,1,2498.65,249.865,6,2023-01-04,2023-09-21,0.1,1.6667,True,60+,1 — Uma falha,Alto Valor,False,True
WCID5036,Rhonda Murphy,36,4,0,657.59,164.3975,3,2023-08-25,2023-10-06,0.0,1.3333,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5037,Amy Leblanc,46,9,1,2364.59,262.7322,7,2023-01-24,2023-12-31,0.1111,1.2857,True,45–59,1 — Uma falha,Alto Valor,False,False
WCID5038,Stephanie Ryan,62,8,1,1764.47,220.5588,6,2023-03-25,2023-12-07,0.125,1.3333,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5039,Jennifer Woods,65,11,3,3317.46,301.5873,7,2023-02-01,2023-11-14,0.2727,1.5714,True,60+,3+ — Múltiplas falhas,VIP,False,True
WCID5040,Amy Harrison,72,11,1,3530.91,320.9918,8,2023-01-14,2023-11-19,0.0909,1.375,True,60+,1 — Uma falha,VIP,False,True
WCID5041,Brad Jones,34,6,0,1847.5,307.9167,4,2023-02-17,2023-09-09,0.0,1.5,False,30–44,0 — Sem falha,Médio Valor,False,False
WCID5042,Daniel Phillips,85,7,1,1932.68,276.0971,6,2023-02-25,2023-11-10,0.1429,1.1667,True,60+,1 — Uma falha,Médio Valor,False,True
WCID5043,Rachel Deleon,87,11,2,4382.06,398.3691,8,2023-01-15,2023-11-10,0.1818,1.375,True,60+,2 — Duas falhas,VIP,False,True
WCID5044,Adam Johnson,42,8,1,2628.55,328.5688,4,2023-01-03,2023-09-12,0.125,2.0,True,30–44,1 — Uma falha,Alto Valor,False,True
WCID5045,Jessica Robinson,23,14,2,3634.24,259.5886,10,2023-01-27,2023-11-06,0.1429,1.4,True,18–29,2 — Duas falhas,VIP,False,True
WCID5046,James Hopkins,38,15,5,4157.15,277.1433,9,2023-03-14,2023-12-28,0.3333,1.6667,True,30–44,3+ — Múltiplas falhas,VIP,False,True
WCID5047,Cory Spencer,81,5,3,1961.47,392.294,4,2023-01-10,2023-11-04,0.6,1.25,True,60+,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5048,Amber Reed,73,5,1,1299.18,259.836,4,2023-05-09,2023-12-29,0.2,1.25,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5049,Mary Reese,40,11,2,2965.41,269.5827,8,2023-03-12,2023-12-31,0.1818,1.375,True,30–44,2 — Duas falhas,VIP,False,True
WCID5050,Bruce Williams,87,5,1,1073.83,214.766,4,2023-03-11,2023-11-23,0.2,1.25,True,60+,1 — Uma falha,Baixo Valor,False,True
WCID5051,Terri Bean,40,4,1,1072.01,268.0025,3,2023-02-19,2023-11-12,0.25,1.3333,True,30–44,1 — Uma falha,Baixo Valor,False,True
WCID5052,Joseph Mcintosh,46,9,3,2857.49,317.4989,5,2023-02-03,2023-12-22,0.3333,1.8,True,45–59,3+ — Múltiplas falhas,VIP,False,True
WCID5053,Melanie Austin,79,13,3,3569.41,274.57,10,2023-02-07,2023-12-28,0.2308,1.3,True,60+,3+ — Múltiplas falhas,VIP,False,True
WCID5054,Casey Thompson,76,12,1,3825.4,318.7833,9,2023-02-21,2023-12-24,0.0833,1.3333,True,60+,1 — Uma falha,VIP,False,True
WCID5055,Julie Holland,42,7,1,2267.03,323.8614,6,2023-01-10,2023-10-06,0.1429,1.1667,True,30–44,1 — Uma falha,Alto Valor,False,True
WCID5056,Gabriela Barton,72,8,1,2242.93,280.3662,6,2023-01-11,2023-11-10,0.125,1.3333,True,60+,1 — Uma falha,Alto Valor,False,False
WCID5057,Melanie Farmer,65,10,1,3027.87,302.787,6,2023-01-17,2023-08-28,0.1,1.6667,True,60+,1 — Uma falha,VIP,False,True
WCID5058,Steven Long,34,4,0,627.03,156.7575,4,2023-04-25,2023-11-09,0.0,1.0,False,30–44,0 — Sem falha,Baixo Valor,False,False
WCID5059,Beth Martin,81,5,1,2262.03,452.406,4,2023-03-25,2023-09-24,0.2,1.25,True,60+,1 — Uma falha,Alto Valor,True,False
WCID5060,Alicia Mckinney,43,11,0,3567.7,324.3364,7,2023-03-16,2023-12-21,0.0,1.5714,False,30–44,0 — Sem falha,VIP,False,False
WCID5061,Mark Rice,27,7,3,1639.85,234.2643,7,2023-01-22,2023-12-08,0.4286,1.0,True,18–29,3+ — Múltiplas falhas,Médio Valor,False,True
WCID5062,Joanna Bush,26,8,2,2208.77,276.0962,7,2023-01-02,2023-12-13,0.25,1.1429,True,18–29,2 — Duas falhas,Alto Valor,False,True
WCID5063,Patricia Dougherty,69,5,0,1545.66,309.132,4,2023-02-08,2023-12-06,0.0,1.25,False,60+,0 — Sem falha,Baixo Valor,False,False
WCID5064,Leonard Jones,47,4,1,1334.9,333.725,4,2023-04-24,2023-12-11,0.25,1.0,True,45–59,1 — Uma falha,Baixo Valor,False,False
WCID5065,Bruce Ruiz,48,6,2,1605.67,267.6117,6,2023-02-13,2023-12-10,0.3333,1.0,True,45–59,2 — Duas falhas,Baixo Valor,False,True
