driver_id,driver_name,total_deliveries,total_failures,hist_failure_rate,total_revenue,avg_ticket,trips,driver_age,exp_tier,rate_h1,rate_h2,delta_h1_h2,improved_h1_h2,consistency_cv,months_active,intervention_quadrant,estimated_failure_cost,risk_flag
WDID09872,Tonya Chung,7,0,0.0,2038.81,291.2586,35,18,Intermediário (26–50 trips),,,,,0.0,6,Referência — Boas Práticas,0.0,False
WDID09873,Pamela Moore,11,4,0.3636,3858.95,350.8136,64,18,Experiente (51+ trips),,,,,1.299,9,Instável — Coaching,283.3022,True
WDID09874,Billy Lawson,11,4,0.3636,2858.31,259.8464,37,18,Intermediário (26–50 trips),,,,,1.058,7,Instável — Coaching,283.3022,True
WDID09875,Stephen Randolph,11,4,0.3636,2832.49,257.4991,64,18,Experiente (51+ trips),,,,,1.133,8,Instável — Coaching,283.3022,True
WDID09876,Jordan Daniel,11,4,0.3636,2935.32,266.8473,53,18,Experiente (51+ trips),0.5,0.2,-0.3,True,1.19,8,Instável — Coaching,283.3022,True
WDID09877,James White,11,4,0.3636,3344.06,304.0055,14,18,Novato (≤25 trips),,,,,1.19,8,Instável — Coaching,283.3022,True
WDID09878,Roger Green,11,4,0.3636,3122.29,283.8445,22,18,Novato (≤25 trips),0.6,0.1667,-0.4333,True,1.249,9,Instável — Coaching,283.3022,True
WDID09879,Shane Palmer,11,4,0.3636,5236.44,476.04,35,18,Intermediário (26–50 trips),,,,,1.249,9,Instável — Coaching,283.3022,True
WDID09880,Brittany Gordon,11,4,0.3636,3384.35,307.6682,36,18,Intermediário (26–50 trips),0.6,0.1667,-0.4333,True,1.466,8,Instável — Coaching,283.3022,True
WDID09881,Tracey Watkins,11,4,0.3636,3493.74,317.6127,26,18,Intermediário (26–50 trips),0.6,0.1667,-0.4333,True,1.269,7,Instável — Coaching,283.3022,True
WDID09882,Angela Young,11,4,0.3636,2938.13,267.1027,75,18,Experiente (51+ trips),,,,,1.058,7,Instável — Coaching,283.3022,True
WDID09883,Charles Rios DVM,11,4,0.3636,2859.71,259.9736,62,18,Experiente (51+ trips),,,,,1.182,8,Instável — Coaching,283.3022,True
WDID09884,James Winters,11,4,0.3636,3092.51,281.1373,22,18,Novato (≤25 trips),0.6,0.1667,-0.4333,True,0.965,6,Instável — Coaching,283.3022,True
WDID09885,Jacob Barker,11,4,0.3636,3755.52,341.4109,50,18,Intermediário (26–50 trips),0.3333,0.4,0.0667,False,1.19,8,Instável — Coaching,283.3022,True
WDID09886,Jasmine Perez,11,4,0.3636,4459.11,405.3736,45,18,Intermediário (26–50 trips),,,,,1.19,8,Instável — Coaching,283.3022,True
WDID09887,Debbie Cox,11,4,0.3636,3500.81,318.2555,62,18,Experiente (51+ trips),,,,,1.414,7,Instável — Coaching,283.3022,True
WDID09888,Nancy Porter,11,4,0.3636,2094.82,190.4382,58,18,Experiente (51+ trips),,,,,1.299,9,Instável — Coaching,283.3022,True
WDID09889,Carla James,11,4,0.3636,3693.28,335.7527,66,18,Experiente (51+ trips),,,,,0.965,6,Instável — Coaching,283.3022,True
WDID09890,Cynthia Owens,11,4,0.3636,3115.22,283.2018,67,18,Experiente (51+ trips),0.3333,0.4,0.0667,False,1.377,7,Instável — Coaching,283.3022,True
WDID09891,Justin Parsons,11,4,0.3636,3005.89,273.2627,16,18,Novato (≤25 trips),,,,,1.182,8,Instável — Coaching,283.3022,True
WDID09892,Andrew Lambert,11,4,0.3636,3108.18,282.5618,34,18,Intermediário (26–50 trips),0.6,0.1667,-0.4333,True,1.5,9,Instável — Coaching,283.3022,True
WDID09893,Mrs. Valerie Schwartz MD,11,4,0.3636,2947.35,267.9409,77,18,Experiente (51+ trips),,,,,1.19,8,Instável — Coaching,283.3022,True
WDID09894,Jennifer Wright,11,4,0.3636,2836.16,257.8327,61,18,Experiente (51+ trips),,,,,1.19,8,Instável — Coaching,283.3022,True
